nombre_corto,nombre,portal
SNS,SERVICIO NACIONAL DE SALUD,https://sns.gob.do/transparencia/recursos-humanos/nominas-de-empleados/
EJERCITO,EJERCITO DE LA REPUBLICA DOMINICANA,https://www.ejercito.mil.do/transparencia/recursos-humanos/nomina-de-empleados
INAIPI,INSTITUTO NACIONAL DE ATENCION INTEGRAL A LA PRIMERA INFANCIA,https://www.inaipi.gob.do/transparencia/index.php/recursos-humanos/nominas
DGA,DIRECCION GENERAL DE ADUANAS,https://www.aduanas.gob.do/transparencia/recursos-humanos/
INAPA,INSTITUTO NACIONAL DE AGUAS POTABLES Y ALCANTARILLADOS,https://www.inapa.gob.do/transparencia/index.php/recursos-humanos/nomina
CAASD,CORPORACION DEL ACUEDUCTO Y ALCANTARILLADO DE SANTO DOMINGO,https://transparencia.caasd.gob.do/recursos-humanos/nominas-de-empleados/
INDRHI,INSTITUTO NACIONAL DE RECURSOS HIDRAULICOS,https://indrhi.gob.do/transparencia/recursos-humanos/nominas/
IAD,INSTITUTO AGRARIO DOMINICANO,https://iad.gob.do/transparencia/index.php/recursos-humanos/nomina
DGII,DIRECCION GENERAL DE IMPUESTOS INTERNOS,https://dgii.gov.do/transparencia/recursosHumanos/nominaEmpleados/Paginas/default.aspx
OMSA,OFICINA METROPOLITANA DE SERVICIOS DE AUTOBUSES,https://www.omsa.gob.do/transparencia/index.php/recursos-humanos/nomina
AYUNTAMIENTOSANTIAGO,AYUNTAMIENTO DEL MUNICIPIO DE SANTIAGO,https://ayuntamientosantiago.gob.do/transparencia/nominas/
CORAASAN,CORPORACION DE ACUEDUCTO Y ALCANTARILLADO DE SANTIAGO,https://www.coraasan.gob.do/transparencia/index.php/recursos-humanos/nomina
OPRET,OFICINA PARA EL REORDENAMIENTO DEL TRANSPORTE,https://www.opret.gob.do/transparencia/rrhh_nominas
CE,COMEDORES ECONOMICOS DEL ESTADO,https://www.comedoreseconomicos.gob.do/transparencia/index.php/recursos-humanos/nomina/category/329-nomina-personal-fijo
SENADO,SENADO DE LA REPUBLICA DOMINICANA,https://www.senadord.gob.do/transparencia/recursos-humanos/
INESPRE,INSTITUTO DE ESTABILIZACION DE PRECIOS,https://www.inespre.gov.do/transparencia/recursos-humanos/nomina-de-empleados/
LN,LOTERIA NACIONAL,https://loterianacional.gob.do/transparencia/recursos-humanos/nomina-de-empleados
CGR,CONTRALORIA GENERAL DE LA REPUBLICA,https://www.contraloria.gob.do/transparencia/index.php/recursos-humanos/nomina
